author,author_type,url,floor,floors_total,rooms,meters,district,street,house_number,price
My Hoyse,real_estate_agent,https://www.cian.ru/rent/flat/307388611/,8,25,4,132.0,Хорошево-Мневники, Народного Ополчения,33,200000
Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307388359/,4,8,4,135.0,Якиманка,1-й Спасоналивковский переулок,18С2,350000
Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307387442/,2,6,4,170.0,Хамовники,Зубовский проезд,1,550000
Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/307384966/,7,9,4,162.0,Басманный,Казарменный переулок,3,470000
Владимир  Сафронов,realtor,https://www.cian.ru/rent/flat/307371964/,24,25,4,86.0,Чертаново Южное,Варшавское шоссе,141к9,100000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307364080/,6,9,4,93.0,Пресненский,Васильевская ,4,200000
Раиса Александровна  Скрипка,realtor,https://www.cian.ru/rent/flat/307362155/,26,44,4,120.0,Чертаново Северное,Северное Чертаново мкр,1А,150000
Евгений Хомицевич,realtor,https://www.cian.ru/rent/flat/307361638/,7,7,4,160.0,Куркино,Юровская ,92,150000
ID 33873747,homeowner,https://www.cian.ru/rent/flat/307360158/,15,15,4,100.0,Молжаниновский,Ленинградское шоссе,228к4,140000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307359999/,2,9,4,67.0,Марьино,Подольская ,7,130000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307338158/,10,23,4,120.0,Филевский парк,Кастанаевская ,24,190000
Светлана Владыко,realtor,https://www.cian.ru/rent/flat/307336737/,5,8,4,160.2,Филевский парк,Барклая ,14,280000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307325155/,21,38,4,100.0,Ростокино,проспект Мира,188Бк4,160000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307324075/,5,7,4,150.0,Арбат,Кривоарбатский переулок,16/22,300000
Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307320208/,7,17,4,135.0,Раменки,Ломоносовский проспект,25к2,420000
Алла Денисова,realtor,https://www.cian.ru/rent/flat/307311902/,5,9,4,107.5,Мещанский,проспект Мира,79,150000
Адрес,real_estate_agent,https://www.cian.ru/rent/flat/307308340/,2,8,4,179.9,Арбат,Гоголевский бульвар,29,450000
Андрей Смирнов,realtor,https://www.cian.ru/rent/flat/307305313/,11,59,4,90.0,Тимирязевский,Дмитровский проезд,1,300000
Максим Костромин,realtor,https://www.cian.ru/rent/flat/307301864/,3,5,4,100.0,Щукино, Маршала Рыбалко,1,100000
Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307297937/,14,41,4,105.0,Хорошево-Мневники,Шелепихинская набережная,34к3,220000
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307278459/,2,5,4,140.0,Замоскворечье,Озерковская набережная,6,500000
ID 279864,unknown,https://www.cian.ru/rent/flat/307262507/,6,7,4,210.0,Хамовники,1-й Зачатьевский переулок,8с1,2500000
Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307261861/,4,6,4,125.0,Тверской,Тверская ,29к1,400000
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/rent/flat/307259243/,6,7,4,125.0,Басманный,Большой Казенный переулок,7,270000
МИЭЛЬ Офис Пречистенка,real_estate_agent,https://www.cian.ru/rent/flat/307256929/,4,6,4,192.5,Пресненский,Ермолаевский переулок,4,450000
Дворянское гнездо,real_estate_agent,https://www.cian.ru/rent/flat/307255105/,5,7,4,150.0,Арбат,Кривоарбатский переулок,16/22,300000
DEMIDOVA GROUP,real_estate_agent,https://www.cian.ru/rent/flat/307254524/,2,21,4,132.0,Пресненский, Костикова,4к6,650000
Мария Букина,realtor,https://www.cian.ru/rent/flat/307253255/,27,30,4,200.0,Очаково-Матвеевское,Нежинская ,1к4,500000
Эльмира Эмирова,realtor,https://www.cian.ru/rent/flat/307250668/,21,27,4,154.0,Щукино,Авиационная ,79,300000
Арбат Престиж,real_estate_agent,https://www.cian.ru/rent/flat/307249526/,15,32,4,150.0,Хорошевский,Ходынский бульвар,5к2,400000
Елена Кобзон,realtor,https://www.cian.ru/rent/flat/307244199/,2,15,4,110.0,Мещанский, Гиляровского,7,180000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307237140/,4,6,4,125.0,Тверской,Тверская ,29к1,400000
ID 96700697,homeowner,https://www.cian.ru/rent/flat/307235287/,4,8,4,104.0,Таганский,Котельническая набережная,21,800000
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307233428/,9,12,4,118.0,Проспект Вернадского, Удальцова,26,160000
EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307231726/,3,8,4,94.6,, Ясеневая,3,140000
KREMLIN ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307228989/,3,9,4,174.0,Тверской,Большая Грузинская ,69,600000
CapitalEstate,real_estate_agent,https://www.cian.ru/rent/flat/307227581/,3,5,4,165.0,Крылатское,Осенняя ,25К1,350000
Eightmix Property,real_estate_agent,https://www.cian.ru/rent/flat/307216587/,12,14,4,195.0,Можайский, Вересаева,6,1100000
Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307214238/,18,19,4,162.0,Сокол, Алабяна,13к1,300000
Капиталъ-Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307212104/,12,14,4,240.0,Мещанский, Гиляровского,4К1,349900
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307207026/,4,5,4,150.0,Басманный, Жуковского,2,250000
ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307201710/,4,5,4,65.0,Пресненский,Шелепихинская набережная,4С1,120000
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307182439/,5,7,4,212.0,Хамовники,Молочный переулок,2,1000000
ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307156244/,5,16,4,75.0,Обручевский, Обручева,28К2,80000
Easy Estate,real_estate_agent,https://www.cian.ru/rent/flat/307153383/,4,6,4,150.0,Басманный, Жуковского,2,250000
Парус,real_estate_agent,https://www.cian.ru/rent/flat/307152883/,4,12,4,70.0,Алексеевский,Новоалексеевская ,18К1,99000
Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307151518/,3,4,4,185.0,Тверской,Петровский переулок,1/30С2,330000
Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307151517/,21,53,4,210.8,Раменки,Мосфильмовская ,8,450000
EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307151197/,4,12,4,68.0,Алексеевский,Новоалексеевская ,18К1,99500
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307147656/,6,15,4,170.0,Пресненский,Зоологическая ,30С2,550000
Сфера Эстейт,real_estate_agent,https://www.cian.ru/rent/flat/307144349/,14,26,4,100.3,Левобережный,Смольная ,49,210000
EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307141003/,15,23,4,82.0,Войковский,Выборгская ,7к1,150000
Жанна Гончарова,realtor,https://www.cian.ru/rent/flat/307140291/,9,14,4,150.0,Мещанский, Гиляровского,50,330000
SKOLKOVO НЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/rent/flat/307139323/,2,5,4,140.0,Замоскворечье,Озерковская набережная,6,500000
SC Realty,real_estate_agent,https://www.cian.ru/rent/flat/307138585/,9,18,4,125.0,Щукино, Ирины Левченко,1,250000
ProStore,real_estate_agent,https://www.cian.ru/rent/flat/307135478/,7,12,4,104.0,Красносельский,Краснопрудная ,7-9,160000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307130075/,9,14,4,120.0,Пресненский,Большая Грузинская ,37,350000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307129223/,15,16,4,127.0,Обручевский, Островитянова,9,180000
Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307127712/,21,25,4,130.0,Проспект Вернадского, Удальцова,19К1,186000
ID 87482764,realtor,https://www.cian.ru/rent/flat/307108832/,4,27,4,150.0,Щукино, Маршала Конева,14,200000
Ангелово Эстейт,real_estate_agent,https://www.cian.ru/rent/flat/307103684/,3,12,4,80.0,Бибирево,Мурановская ,8,120000
ID 18459536,homeowner,https://www.cian.ru/rent/flat/307101492/,8,8,4,105.0,Донской,Ленинский проспект,18,250000
Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307099532/,30,38,4,170.0,Раменки,Мосфильмовская ,70к1,360000
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307091328/,18,24,4,150.0,Сокол, Алабяна,13к1,300000
Verges of estate,real_estate_agent,https://www.cian.ru/rent/flat/307088377/,5,17,4,135.0,Пресненский, Пресненский Вал,21,400000
Капитал Риэлт-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307084085/,1,2,4,108.0,Куркино,Куркинское шоссе,60Ас2,85000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307083961/,5,5,4,89.0,Дорогомилово,Студенческая ,22К2,220000
ID 19093258,unknown,https://www.cian.ru/rent/flat/307080765/,9,14,4,120.0,Пресненский,Большая Грузинская ,37,350000
Алла Шмелева,realtor,https://www.cian.ru/rent/flat/307057310/,6,26,4,137.0,Головинский,Кронштадтский бульвар,6к2,230000
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307048544/,2,6,4,170.0,Хамовники,Зубовский проезд,1,550000
SHESHIN HOUSE,real_estate_agent,https://www.cian.ru/rent/flat/307047297/,2,8,4,340.0,Хамовники,переулок Хилков,1,1900000
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307044532/,8,18,4,164.0,Дорогомилово,Дохтуровский переулок,6,370000
Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307042967/,2,5,4,105.0,Ростокино,Сельскохозяйственная ,11К1,200000
ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307039744/,5,7,4,140.0,Бутырский, Руставели,3К7,230000
Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307023622/,12,13,4,230.0,Мещанский, Гиляровского,4К1,380000
Moscow Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307014786/,4,9,4,189.1,Тверской,Краснопролетарская ,7,450000
Домклик Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307004055/,7,9,4,63.1,Выхино-Жулебино,Ферганский проезд,7К1,76200
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/306999182/,5,12,4,176.0,Пресненский, Спиридоновка,18,700000
FS PROPERTY,real_estate_agent,https://www.cian.ru/rent/flat/306994336/,2,8,4,340.0,Хамовники,переулок Хилков,1,1900000
Vmestate,real_estate_agent,https://www.cian.ru/rent/flat/306990799/,4,16,4,170.0,Мещанский, Гиляровского,7,250000
ID 211998,homeowner,https://www.cian.ru/rent/flat/306980257/,8,23,4,160.0,Очаково-Матвеевское,Староволынская ,12к4,500000
Point Estate Город,real_estate_agent,https://www.cian.ru/rent/flat/306976480/,3,8,4,160.0,Замоскворечье,Большая Татарская ,7к4,700000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306972543/,6,7,4,175.0,Ломоносовский, Строителей,5К1,220000
Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/306971839/,6,7,4,220.0,Арбат,Малый Николопесковский переулок,4,350000
Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/306967943/,4,9,4,189.0,Тверской,Краснопролетарская ,7,450000
Дмитрий Максимов,realtor,https://www.cian.ru/rent/flat/306967549/,21,53,4,210.8,Раменки,Мосфильмовская ,8,490000
Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/306957593/,4,15,4,170.0,Мещанский, Гиляровского,7,250000
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/306956393/,6,7,4,220.0,Арбат,Малый Николопесковский переулок,4,350000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306951730/,7,8,4,160.0,Хамовники,1-й Обыденский переулок,9/12,400000
